Collection Pillar,Recommendation,Sell Priority,Museum Score,Investment Score,Liquidity Score,Duplicate,Duplicate Count,Upgrade Candidate,Needs Grading,Needs Photo,Needs Verification,Verification Notes,Series,Issue Full,Issue,Issue Ext,Title,Edition / Variant,Publisher,Series Group,Age,Release Date,Cover Date,Publication Date,Barcode,Quantity,Location,Current Price,Cover Price,Purchase Price,Purchase Date,Is Key Comic,Key Comic Reason,Key Categories,Story Arc,Crossover,Genres,Slab Status,Grade Rating,Assumed Grade,Signees,Tags,Cover Image URL,CLZ Hash,BP Comic ID,BP Series ID,Added Date,Modified Date,Format,Collection Status,Collection,Read It,Country,Language,Value Locked,Raw XML Index
First Appearances,Inventory Review,Low,70,55,65,No,1,Yes,No,No,Yes,"Assumed NM, not verified",Dark Days: The Forge,1A,1,A,Dark Days: The Forge,Regular Jim Lee & Scott Williams Metal Foil Cover,DC Comics,,Modern,"Jun 14, 2017",Aug 2017,Aug 2017,76194135159900111,1,17,8.0,4.99,0.0,,Minor,1st cameo team app. of the Immortial Men,1st cameo appearance,,Dark Nights: Metal,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/7b/7b_485388_0_DarkDaysTheForge1A.jpg,ae7efe3f74664d5c84e59b0a73b7f4d8,485388,75064,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,141
First Appearances,Museum Candidate,Low,75,75,75,No,1,Yes,Yes,No,Yes,"Assumed NM, not verified",Dark Nights: Metal,6A,6,A,Part 6,Greg Capullo & Jonathan Glapion Foil-Stamped Regular Cover,DC Comics,,Modern,"Mar 28, 2018",May 2018,May 2018,76194134892600611,1,13,55.0,4.99,0.0,,Minor,1st cameo app. of Caden Park,1st cameo appearance,Dark Nights: Metal,Dark Nights: Metal,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/6a/6a_522855_0_Part6.jpg,d13d06b754584740bbc8a96cbe9fcef8,522855,76296,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,146
Spider-Man,Museum Candidate,Low,85,75,90,No,1,Yes,Yes,No,Yes,"Assumed NM, not verified","The Amazing Spider-Man, Vol. 4",798A,798,A,Part 2: The Rope-A-Dope,Regular Alex Ross Cover,Marvel Comics,Spider-Man,Modern,"Apr 04, 2018",Jun 2018,Jun 2018,75960608765579811,1,4,50.0,3.99,0.0,,Minor,1st app. of Red Goblin,1st appearance,Go Down Swinging,,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/a3/a3_538764_0_Part2TheRopeADope.jpg,9f552266f7164951a9ce8703d927ac1b,538764,64163,2021-03-24,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,178
First Appearances,Museum Candidate,Low,78,77,65,No,1,Yes,No,No,Yes,"Assumed NM, not verified","The Mighty Thor, Vol. 2",700I,700,I,Blood of the Norns,How To Draw Variant,Marvel Comics,Thor,Modern,"Oct 18, 2017",Dec 2017,Dec 2017,75960608774770091,1,High Value Bin,22.0,5.99,0.0,,Minor,"1st app. of Black Galactus, Butcher of Worlds, Ego the Living Planet becomes Necroworld",1st appearance,The Death of the Mighty Thor,,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/e8/e8_503125_0_BloodoftheNorns.jpg,24712dddb7a8446388b77cf61504465b,503125,65013,2021-03-24,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,182
Spider-Man,Museum Candidate,Low,78,77,80,No,1,Yes,No,No,Yes,"Assumed NM, not verified",Venomverse,1C,1,C,,Variant Clayton Crain Connecting Cover,Marvel Comics,,Modern,"Sep 06, 2017",Nov 2017,Nov 2017,75960608751800131,1,31,22.0,4.99,0.0,,Minor,1st app. of The Poisons,1st appearance,Venomverse,,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/12/12_500376_0_.jpg,f75092bc00f44bc6af952e7d7ac2c7d2,500376,76818,2021-03-25,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,200
Spider-Man,Museum Candidate,Low,78,67,90,No,1,Yes,No,No,Yes,"Assumed NM, not verified",Edge of Venomverse,3A,3,A,,Regular Francesco Mattina Cover,Marvel Comics,,Modern,"Jul 26, 2017",Sep 2017,Sep 2017,75960608738900311,1,17,34.0,3.99,0.0,,Minor,1st app. of Ghost Rider With A Symbiote,1st appearance,,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/da/da_488814_0_.jpg,34947dff5fcc4c93b2aed3c7dde32456,488814,75017,2021-03-25,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,206
First Appearances,Museum Candidate,Low,85,75,63,No,1,Yes,Yes,No,Yes,"Assumed NM, not verified",Pitt,1C,1,C,Fight & Flight!,,Image Comics,Pitt,Modern,Jan 1993,Jan 1993,Jan 1993,07098933253901,1,High Value Bin,160.0,1.95,1.95,,Minor,1st app. of Pitt,1st appearance,,,Action; Adventure; Horror; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/c1/c1_650014_0_Pitt1C.jpg,9e1f08b3d9f54b8b9f766c659a3ae7e9,650014,6891,2021-03-25,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,209
Spider-Man,Museum Candidate,Low,78,67,90,No,1,Yes,Yes,No,Yes,"Assumed NM, not verified","The Amazing Spider-Man, Vol. 4",800A,800,A,Part 4: Conclusion,Alex Ross Regular Cover,Marvel Comics,Spider-Man,Modern,"May 30, 2018",Jul 2018,Jul 2018,75960608765580011,1,4,40.0,9.99,0.0,,Minor,"Death of Flash Thompson, 1st full app. of Normie Osborn as Goblin Childe",1st appearance,Go Down Swinging,,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/90/90_549416_0_Part4Conclusion.jpg,f3a3c64a7ab545b7b8a09fd6a1d64cb9,549416,64163,2021-03-25,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,213
Batman,Museum Candidate,Low,78,67,90,No,1,Yes,No,No,Yes,"Assumed NM, not verified","Harley Quinn, Vol. 2",0A,0,A,Picky Sicky,Amanda Conner Regular Cover,DC Comics,Harley Quinn,Modern,"Nov 20, 2013",Jan 2014,Jan 2014,76194131887500011,1,High Value Bin,32.0,2.99,0.0,,Minor,1st app. of Bernie The Talking Beaver,1st appearance,,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/6e/6e_348070_0_PickySicky.jpg,1763870e3675414fb31e3b04e2bf1022,348070,52053,2021-03-31,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,219
Cover Art & Favorite Artists,Museum Candidate,Low,78,67,75,No,1,Yes,No,No,Yes,"Assumed NM, not verified","Justice League, Vol. 1",1A,1,A,Part One,Jim Lee Regular Cover,DC Comics,Justice League,Modern,"Aug 31, 2011",Oct 2011,Oct 2011,76194130593600111,1,24,34.0,3.99,0.0,,Minor,Premiere issue of ongoing series,First/Last/Nth issue,Justice League,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/e6/e6_287954_0_PartOne.jpg,5087b2b14b324cc0812aede0e2227d25,287954,41297,2021-03-31,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,231
Sci-Fi,Inventory Review,Low,70,55,60,No,1,Yes,No,No,Yes,"Assumed NM, not verified; Key with zero current price","Justice League, Vol. 1",8A,8,A,"Team-Up: Green Arrow / Shazam!, Chapter 2",Jim Lee Regular Cover,DC Comics,Justice League,Modern,"Apr 18, 2012",Jun 2012,Jun 2012,76194130593600811,1,24,0.0,3.99,3.99,,Minor,1st app. of Marvel family,1st appearance,The Villain's Journey,,Action; Adventure; Science Fiction; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/a4/a4_301082_0_TeamUpGreenArrowShazamChapter2.jpg,c13a095abb8f40a087b1bf7db35eb724,301082,41297,2021-03-31,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,239
X-Men,Inventory Review,Low,70,55,75,No,1,Yes,No,No,Yes,"Assumed NM, not verified; Key with zero current price","Deadpool, Vol. 4",31A,31,A,My Robot Buddy,Regular Mark Brooks Cover,Marvel Comics,Deadpool,Modern,"Jul 09, 2014",Sep 2014,Sep 2014,75960607905603111,1,16,0.0,3.99,3.99,,Minor,"1st full app. of Ellie Comacho, Deadpool's daughter",1st full appearance,,Original Sin,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/b0/b0_370867_0_DeadpoolVol431A.jpg,c07786d191b14f47a1e13fb6e58f4fa5,370867,47245,2021-04-11,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,382
X-Men,Museum Candidate,Low,75,75,90,No,1,Yes,Yes,No,Yes,"Assumed NM, not verified; Missing barcode","Uncanny X-Men, Vol. 1",283A,283,A,Bishop's Crossing,Direct Edition,Marvel Comics,X-Men,Modern,Dec 1991,Dec 1991,Dec 1991,,1,"Thor, Unity, Venom, WW",50.0,1.0,0.0,,Minor,"1st full app. of Bishop, 1st app. of Gamemaster",1st full appearance,,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/47/47_94783_0_TheUncannyXMen283BishopsCrossi.jpg,91b2511bd5e14100949a7c7d8119c931,94783,8106,2021-05-02,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,414
X-Men,Museum Candidate,Low,75,75,90,No,1,Yes,Yes,No,Yes,"Assumed NM, not verified","X-Men, Vol. 1",1D,1,D,Rubicon,Magneto Cover,Marvel Comics,,Modern,Oct 1991,Oct 1991,Oct 1991,00928101772100121,1,"X-Force, X-Men, X-O",50.0,1.5,0.0,,Minor,1st app. of the Acolytes,1st appearance,,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/c6/c6_103847_0_Rubicon.jpg,d290b9d07f7a4c1aa3d21785388b94ad,103847,8878,2021-05-02,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,431
Spider-Man,Museum Candidate,Low,85,75,90,No,1,Yes,Yes,No,Yes,"Assumed NM, not verified","Spider-Man / Deadpool, Vol. 1",1A,1,A,"Isn't It Bromantic?, Part One / Visions of the Future",Ed McGuinness Regular Cover,Marvel Comics,,Modern,"Jan 06, 2016",Mar 2016,Mar 2016,75960608254400111,1,High Value Bin,50.0,3.99,0.0,,Minor,1st Issue,First/Last/Nth issue,Isn't It Bromantic?,,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/74/74_426954_0_.jpg,ee99db237d8946759efd64a6f00d6590,426954,65962,2021-05-02,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,449
Spider-Man,Inventory Review,Low,70,55,90,No,1,Yes,No,No,Yes,"Assumed NM, not verified","Spider-Man, Vol. 1",13,13,,Part One,,Marvel Comics,Spider-Man,Modern,Aug 1991,Aug 1991,Aug 1991,07148601321108,1,High Value Bin,55.0,1.75,0.0,,Minor,Spider-man's black costume returns,New costume,Sub-City,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/a3/a3_111607_0_PartOne.jpg,282602161d2c4c0dab49ed197cf80760,111607,9676,2021-05-03,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,474
X-Men,Museum Candidate,Low,75,85,90,No,1,Yes,Yes,No,No,,Deadpool's Secret Secret Wars,2C,2,C,,Variant Cover,Marvel Comics,,Modern,"Jun 17, 2015",Aug 2015,Aug 2015,75960608210000231,1,Wall Display,95.0,3.99,3.99,,Minor,1st Cover app. of Gwenpool,1st cover appearance,,Secret Wars,Action; Adventure; Super-Heroes,Raw,9.4,9.4,,,https://clzcomics.r.sizr.io/core/covers/lg/9a/9a_403621_0_.jpg,9c282f2a4cbb494ca0f26f48fa27b219,403621,60969,2021-05-03,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,509
First Appearances,Museum Candidate,Low,85,85,75,No,1,Yes,Yes,No,Yes,"Assumed NM, not verified","Infinity Gauntlet, Vol. 2",1B,1,B,,Skottie Young Baby Variant Cover,Marvel Comics,,Modern,"May 27, 2015",Jul 2015,Jul 2015,75960608220900121,1,22,50.0,3.99,0.0,,Minor,1st app. of The Bakians,1st appearance,,Secret Wars: Warzones,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/61/61_400157_0_.jpg,12d754f95e11467992b204228299e894,400157,60971,2021-05-06,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,630
First Appearances,Museum Candidate,Low,75,75,75,No,1,Yes,Yes,No,No,,Infinity Gauntlet,1,1,,God,,Marvel Comics,,Modern,"May 21, 1991",Jul 1991,Jul 1991,07148601769101,1,22,90.0,2.5,2.5,,Major,1st issue,First/Last/Nth issue,,Infinity Gauntlet,Action; Adventure; Super-Heroes,Raw,9.4,9.4,,,https://clzcomics.r.sizr.io/core/covers/lg/cc/cc_55629_0_God.jpg,10b202a8f72d4dffa95ff5e215da7a86,55629,4812,2021-05-06,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,631
First Appearances,Museum Candidate,Low,75,75,75,No,1,Yes,Yes,No,Yes,"Assumed NM, not verified",Infinity Gauntlet,2,2,,From Bad to Worse,,Marvel Comics,,Modern,"Jun 18, 1991",Aug 1991,Aug 1991,07148601769102,1,22,60.0,2.5,0.0,,Minor,1st app. of Epoch,1st appearance,,Infinity Gauntlet,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/f1/f1_55630_0_FromBadtoWorse.jpg,977a26aec5f944e8a60e97f20afb4132,55630,4812,2021-05-06,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,636
First Appearances,Museum Candidate,Low,75,75,75,No,1,Yes,Yes,No,Yes,"Assumed NM, not verified",The Thanos Quest,1A,1,A,Schemes and Dreams,1st Printing,Marvel Comics,,Modern,"Jul 03, 1990",Sep 1990,Sep 1990,02488523232501,1,29,50.0,4.95,0.0,,Major,"1st usage of the name ""Infinity Gems""",1st appearance,,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/b8/b8_90507_0_TheThanosQuest1A.jpg,8a850cc508954e2d931065c1560b79d4,90507,7751,2021-05-06,2026-07-04,Squarebound,In Collection,My comic collection,No,USA,English,No,667
Spider-Man,Inventory Review,Low,70,55,80,No,1,Yes,No,No,Yes,"Assumed NM, not verified","The Amazing Spider-Man, Vol. 3",1.3A,1,.3A,Part Three,Regular Alex Ross Cover,Marvel Comics,Spider-Man,Modern,"Jul 09, 2014",Sep 2014,Sep 2014,75960607961200311,1,4,10.0,3.99,0.0,,Minor,Origin of Spider-Man retold,1st appearance,Learning to Crawl,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/89/89_372121_0_PartThree.jpg,58d5ccacde614ed398f949fae27e2280,372121,54411,2021-05-06,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,668
Spider-Man,Inventory Review,Low,70,55,75,No,1,Yes,Yes,No,Yes,"Assumed NM, not verified; Missing barcode; Key with zero current price","The Amazing Spider-Man, Vol. 1",365A,365,A,30th Anniversary,Direct Edition,Marvel Comics,Spider-Man,Modern,Aug 1992,Aug 1992,Aug 1992,,1,High Value Bin,0.0,3.95,3.95,,Major,1st app. of Spider-Man 2099,1st appearance,Fathers And Sins,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/9a/9a_700339_0_TheAmazingSpiderManVol1365A.jpg,4500c7c8458647b3beffcea979cf8ff7,700339,705,2021-05-07,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,702
Spider-Man,Inventory Review,Low,70,55,75,No,1,Yes,No,No,Yes,"Assumed NM, not verified; Key with zero current price","Web of Spider-Man, Vol. 1",90A,90,A,The Spider's Thread,Direct Edition,Marvel Comics,Spider-Man,Modern,"May 05, 1992",Jul 1992,Jul 1992,07148602527607,1,High Value Bin,0.0,2.95,2.95,,Minor,30th Anniversary,First/Last/Nth issue,,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/f8/f8_659919_0_TheSpidersThread.jpg,be4ade9fe4044a259cb371c9f36a1de8,659919,8494,2021-05-07,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,704
Sci-Fi,Museum Candidate,Low,75,75,75,No,1,Yes,Yes,No,Yes,"Assumed NM, not verified",Thor: God of Thunder,8,8,,Part Two: God in Chains,1st Printing,Marvel Comics,Thor,Modern,"May 08, 2013",Jul 2013,Jul 2013,75960607913100811,1,"Thor, Unity, Venom, WW",60.0,3.99,0.0,,Minor,1st app. of the Goddesses of Thunder,1st appearance,Godbomb,,Action; Adventure; Fantasy; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/86/86_331097_0_ThorGodofThunder8.jpg,c7c4d52671f649a2a4ffa4a6b8fb9614,331097,47240,2021-05-07,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,713
Sci-Fi,Museum Candidate,Low,75,75,75,No,1,Yes,Yes,No,Yes,"Assumed NM, not verified",All-New Captain America,1A,1,A,,Regular Stuart Immonen Cover,Marvel Comics,Captain America,Modern,"Nov 12, 2014",Jan 2015,Jan 2015,75960608115800111,1,Wall Display,55.0,3.99,0.0,,Minor,1st solo series of Sam Wilson as Captain America,First/Last/Nth issue,,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/77/77_381096_0_.jpg,c004a738a93345a9aabe2ea85bf48bb2,381096,57606,2021-05-07,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,767
X-Men,Museum Candidate,Low,75,75,90,No,1,Yes,Yes,No,Yes,"Assumed NM, not verified; Missing barcode","X-Force, Vol. 1",8A,8,A,Part 1: Flashed Before My Eyes,Direct Edition,Marvel Comics,X-Force,Modern,"Jan 28, 1992",Mar 1992,Mar 1992,,1,"X-Force, X-Men, X-O",60.0,1.25,0.0,,Minor,1st app. of the Six Pack,1st appearance,X-Tenuating Circumstances,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/86/86_673447_0_Part1FlashedBeforeMyEyes.jpg,24c6adbf7860456d80d7c2db6fdb960e,673447,8870,2021-05-07,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,784
Spider-Man,Inventory Review,Low,70,55,80,No,1,Yes,No,No,Yes,"Assumed NM, not verified","Carnage, Vol. 1",1A,1,A,Part One,Clayton Crain Regular Cover,Marvel Comics,Carnage,Modern,"Oct 20, 2010",Dec 2010,Dec 2010,75960607369600111,1,11,18.0,3.99,0.0,,Minor,1st app. of Tanis Nieves,1st appearance,Carnage,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/ac/ac_256381_0_CarnageVol11A.jpg,57bef768b22d4df4a21237f015dd5cb8,256381,35325,2021-05-07,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,803
First Appearances,Museum Candidate,Low,78,67,75,No,1,Yes,No,No,Yes,"Assumed NM, not verified",Secret Wars (2015),1A,1,A,The End Times,Regular Alex Ross Cover,Marvel Comics,Secret Wars,Modern,"May 06, 2015",Jul 2015,Jul 2015,75960608230800111,1,26,30.0,4.99,0.0,,Minor,1st cameo app. of God Emperor Doom,1st cameo appearance,,Secret Wars,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/77/77_396841_0_SecretWars20151A.jpg,1073c1b80f53494b8852fdc1637194d4,396841,60369,2021-05-07,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,808
